"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0400000US45","South Carolina","5020806","*****","4735348","42","3196421","919","1333876","2870","14748","954","78102","1145","3784","796","9139","1235","99278","3107","2574","548","96704","3051","285458","42","175590","4250","10263","1291","2897","759","703","238","218","99","79135","4332","16652","1594","9693","1242","6959","1010"
"0400000US46","South Dakota","870638","*****","837614","205","713546","323","17191","791","73396","986","12511","467","451","166","609","315","19910","1115","82","77","19828","1102","33024","205","20173","960","340","164","2794","499","116","82","53","42","6621","761","2927","535","1017","304","1910","464"
"0400000US47","Tennessee","6709356","*****","6345182","221","4951558","1511","1114068","3182","15553","961","116563","1460","3387","450","11794","1559","132259","3581","4307","692","127952","3446","364174","221","253574","4175","10405","1367","2636","560","1037","360","384","168","80861","3790","15277","1436","7831","871","7446","928"
"0400000US48","Texas","28260856","*****","17143975","247","11856336","2592","3328707","6308","71081","2412","1340554","4739","21739","1006","44465","2907","481093","8687","21245","1765","459848","8444","11116881","247","9047039","19592","99504","4416","70344","3951","16719","1626","3553","723","1599404","19013","280318","9079","138694","6126","141624","5090"
"0400000US49","Utah","3096848","*****","2662016","*****","2425647","888","34571","1208","28515","1110","71000","1319","26961","1106","5248","901","70074","2593","2060","459","68014","2523","434832","*****","250835","5303","2278","474","5206","905","977","279","593","208","150981","5187","23962","1917","13310","1443","10652","1028"
"0400000US50","Vermont","624313","*****","612275","*****","579340","175","7901","329","1807","273","10393","602","296","131","758","201","11780","688","253","127","11527","706","12038","*****","8543","386","601","186","325","144","68","48","29","31","1652","356","820","220","175","68","645","205"
"0400000US51","Virginia","8454463","*****","7662462","524","5227569","1102","1588726","3900","18092","883","536076","3084","5146","537","21750","1629","265103","4996","7795","899","257308","4955","792001","524","490048","6892","32866","1910","5781","1113","5057","797","1033","293","202044","6871","55172","2917","25075","1953","30097","2227"
"0400000US53","Washington","7404107","*****","6466528","*****","5073945","1237","270704","3471","79694","1840","625682","3362","47532","1263","12618","1277","356353","5514","7069","891","349284","5294","937579","*****","507183","6916","10979","1296","14755","1705","5651","695","1558","338","320420","7137","77033","3520","35952","2351","41081","2363"
"0400000US54","West Virginia","1817305","*****","1788937","641","1671546","948","65848","1366","3593","554","14319","675","404","178","3292","826","29935","1323","657","242","29278","1319","28368","641","20054","994","1142","398","74","53","204","143","15","22","4679","655","2200","382","1041","306","1159","279"
"0400000US55","Wisconsin","5790716","*****","5396324","*****","4705599","936","364060","2206","46936","974","160706","1577","2107","514","6068","959","110848","3043","3019","543","107829","3023","394392","*****","241362","3588","7140","815","4456","490","1135","240","293","99","112282","3249","27724","1630","14077","1101","13647","1411"
"0400000US56","Wyoming","581024","*****","523683","143","488437","183","5193","589","12547","547","4907","430","460","232","218","114","11921","805","194","102","11727","798","57341","143","42867","1406","389","179","1617","490","118","79","136","164","8614","1123","3600","600","1680","352","1920","493"
"0400000US72","Puerto Rico","3318447","*****","42528","2210","31723","1924","3179","434","118","88","2351","750","21","26","3143","587","1993","436","173","117","1820","414","3275919","2210","2156291","9458","383497","7084","6720","1034","3886","593","248","230","551621","7620","173656","4901","15081","1194","158575","4955"
